"StateName","Year","CountPerCapita","Proportion","Subst","Indic","Alt","totResponse","Year.1"
"minnesota",2008,NA,NA,"3,855",NA,NA,"18,608",2008
"minnesota",2009,NA,NA,"3,276",NA,NA,"17,678",2009
"minnesota",2010,NA,NA,"3,085",NA,NA,"17,803",2010
"minnesota",2011,NA,NA,NA,NA,NA,NA,NA
"mississippi",2007,90,NA,"4,791",NA,NA,"17,871",2007
"mississippi",2008,90,NA,"5,480",NA,NA,"19,063",2008
"mississippi",2009,90,NA,"5,302",NA,NA,"19,717",2009
"mississippi",2010,90,NA,"5,334",NA,NA,"19,976",2010
"mississippi",2011,90,NA,NA,NA,NA,NA,NA
"missouri",2007,NA,NA,"5,452",NA,NA,"54,635",2007
"missouri",2008,NA,NA,"4,133",NA,NA,"49,129",2008
"missouri",2009,NA,NA,"4,085",NA,NA,"49,755",2009
"missouri",2010,NA,NA,"4,061",NA,NA,"50,969",2010
"missouri",2011,NA,NA,NA,NA,NA,NA,NA
"montana",2007,NA,0.770823122,"1,024","106",NA,"8,699",2007
"montana",2008,NA,0.770823122,"952","68",NA,"7,988",2008
"montana",2009,NA,0.770823122,"950","60",NA,"8,148",2009
"montana",2010,NA,0.770823122,"844","44",NA,"7,419",2010
"montana",2011,NA,0.770823122,NA,NA,NA,NA,NA
"nebraska",2007,NA,NA,"2,401",NA,NA,"11,290",2007
"nebraska",2008,NA,NA,"2,806",NA,NA,"12,472",2008
"nebraska",2009,NA,NA,"3,198",NA,NA,"13,532",2009
"nebraska",2010,NA,NA,"2,923",NA,NA,"13,138",2010
"nebraska",2011,NA,NA,NA,NA,NA,NA,NA
"nevada",2007,NA,NA,"3,068",NA,NA,"16,342",2007
"nevada",2008,NA,NA,"2,849",NA,NA,"14,332",2008
"nevada",2009,NA,NA,"2,887",NA,NA,"12,241",2009
"nevada",2010,NA,NA,"3,019",NA,NA,"12,108",2010
"nevada",2011,NA,NA,NA,NA,NA,NA,NA
"new hampshire",2007,91,NA,"649",NA,NA,"6,834",2007
"new hampshire",2008,91,NA,"831",NA,NA,"8,031",2008
"new hampshire",2009,91,NA,"676",NA,NA,"7,880",2009
"new hampshire",2010,91,NA,"615",NA,NA,"7,909",2010
"new hampshire",2011,91,NA,NA,NA,NA,NA,NA
"new jersey",2007,NA,NA,"5,352",NA,NA,"44,606",2007
"new jersey",2008,NA,NA,"6,299",NA,NA,"53,895",2008
"new jersey",2009,NA,NA,"6,301",NA,NA,"55,909",2009
"new jersey",2010,NA,NA,"6,377",NA,NA,"60,168",2010
"new jersey",2011,NA,NA,NA,NA,NA,NA,NA
"new mexico",2007,97,NA,"3,784",NA,NA,"14,853",2007
"new mexico",2008,97,NA,"3,593",NA,NA,"14,469",2008
"new mexico",2009,97,NA,"3,328",NA,NA,"14,535",2009
"new mexico",2010,97,NA,"3,686",NA,NA,"16,622",2010
"new mexico",2011,97,NA,NA,NA,NA,NA,NA
"new york",2007,NA,0.39496714,"50,989",NA,NA,"155,509",2007
"new york",2008,NA,0.39496714,"50,989",NA,NA,"159,556",2008
"new york",2009,NA,0.39496714,"54,156",NA,NA,"168,658",2009
"new york",2010,NA,0.39496714,"53,172",NA,NA,"169,395",2010
"new york",2011,NA,0.39496714,NA,NA,NA,NA,NA
"north carolina",2007,NA,NA,"6,775",NA,"6,820","66,814",2007
"north carolina",2008,NA,NA,"5,248",NA,"7,413","69,428",2008
"north carolina",2009,NA,NA,"4,937",NA,NA,"67,652",2009
"north carolina",2010,NA,NA,"4,693",NA,"7,336","66,136",2010
"north carolina",2011,NA,NA,NA,NA,NA,NA,NA
"north dakota",2007,NA,NA,"660",NA,NA,"3,586",2007
"north dakota",2008,NA,NA,"680",NA,NA,"4,011",2008
"north dakota",2009,NA,NA,"661",NA,NA,"3,886",2009
"north dakota",2010,NA,NA,"581",NA,NA,"3,871",2010
"north dakota",2011,NA,NA,NA,NA,NA,NA,NA
"ohio",2007,NA,0.651701271,"16,508","10,268",NA,"77,436",2007
"ohio",2008,NA,0.651701271,"15,734","9,732",NA,"83,827",2008
"ohio",2009,NA,0.651701271,"14,595",NA,NA,"78,098",2009
"ohio",2010,NA,0.651701271,"14,669","9,310",NA,"71,811",2010
"ohio",2011,NA,0.651701271,NA,NA,NA,NA,NA
"oklahoma",2007,90,NA,"7,344",NA,NA,"35,873",2007
"oklahoma",2008,90,NA,"6,207",NA,NA,"34,940",2008
"oklahoma",2009,90,NA,"4,303",NA,NA,"29,408",2009
"oklahoma",2010,90,NA,"4,521",NA,NA,"28,583",2010
"oklahoma",2011,90,NA,NA,NA,NA,NA,NA
"oregon",2007,92,0.171212769,"7,227",NA,NA,"26,381",2007
"oregon",2008,92,0.171212769,"6,943",NA,NA,"27,485",2008
"oregon",2009,92,0.171212769,"7,240",NA,NA,"28,584",2009
"oregon",2010,92,0.171212769,"7,306",NA,NA,"29,021",2010
"oregon",2011,92,0.171212769,NA,NA,NA,NA,NA
"pennsylvania",2007,NA,NA,"4,177",NA,NA,"23,513",2007
"pennsylvania",2008,NA,NA,"4,055",NA,NA,"25,051",2008
"pennsylvania",2009,NA,NA,"4,084",NA,NA,"25,839",2009
"pennsylvania",2010,NA,NA,"3,706",NA,NA,"24,840",2010
"pennsylvania",2011,NA,NA,NA,NA,NA,NA,NA
"rhode island",2007,NA,NA,"2,462",NA,NA,"7,710",2007
"rhode island",2008,NA,NA,"1,957",NA,NA,"6,356",2008
"rhode island",2009,NA,NA,"1,977",NA,NA,"6,110",2009
"rhode island",2010,NA,NA,"2,328",NA,NA,"6,825",2010
"rhode island",2011,NA,NA,NA,NA,NA,NA,NA
"south carolina",2007,NA,NA,"7,222",NA,NA,"18,337",2007
"south carolina",2008,NA,NA,"7,025",NA,NA,"18,206",2008
"south carolina",2009,NA,NA,"7,062",NA,NA,"17,721",2009
"south carolina",2010,NA,NA,"6,889",NA,NA,"18,803",2010
"south carolina",2011,NA,NA,NA,NA,NA,NA,NA
"south dakota",2007,105,0.178758057,"851",NA,NA,"3,627",2007
"south dakota",2008,105,0.178758057,"835",NA,NA,"3,589",2008
"south dakota",2009,105,0.178758057,"851",NA,NA,"3,920",2009
"south dakota",2010,105,0.178758057,"797",NA,NA,"3,838",2010
"south dakota",2011,105,0.178758057,NA,NA,NA,NA,NA
"tennessee",2007,NA,NA,"9,961","723",NA,"62,183",2007
"tennessee",2008,NA,NA,"7,644","499",NA,"61,346",2008
"tennessee",2009,NA,NA,"6,391",NA,NA,"57,143",2009
"tennessee",2010,NA,NA,"6,272","446",NA,"59,487",2010
"tennessee",2011,NA,NA,NA,NA,NA,NA,NA
"texas",2007,NA,0.244472611,"42,295",NA,NA,"166,584",2007
"texas",2008,NA,0.244472611,"41,931",NA,NA,"169,628",2008
"texas",2009,NA,0.244472611,"40,741",NA,NA,"170,576",2009
"texas",2010,NA,0.244472611,"39,721",NA,NA,"175,168",2010
"texas",2011,NA,0.244472611,NA,NA,NA,NA,NA
"utah",2007,NA,0.59128776,"8,507",NA,NA,"20,386",2007
"utah",2008,NA,0.59128776,"8,215",NA,NA,"19,922",2008
"utah",2009,NA,0.59128776,"8,473",NA,NA,"20,534",2009
"utah",2010,NA,0.59128776,"8,354",NA,NA,"20,043",2010
"utah",2011,NA,0.59128776,NA,NA,NA,NA,NA
"vermont",2007,NA,0.932553769,"728",NA,NA,"2,564",2007
"vermont",2008,NA,0.932553769,"572",NA,NA,"2,359",2008
"vermont",2009,NA,0.932553769,"606",NA,NA,"3,215",2009
"vermont",2010,NA,0.932553769,"609",NA,NA,"3,795",2010
"vermont",2011,NA,0.932553769,NA,NA,NA,NA,NA
"virginia",2007,NA,NA,"4,377",NA,NA,"30,196",2007
"virginia",2008,NA,NA,"4,150",NA,NA,"28,969",2008
"virginia",2009,NA,NA,"4,138",NA,NA,"30,364",2009
"virginia",2010,NA,NA,"4,519",NA,NA,"33,996",2010
"virginia",2011,NA,NA,NA,NA,NA,NA,NA
"washington",2007,NA,NA,"4,769",NA,NA,"35,262",2007
"washington",2008,NA,NA,"4,613",NA,NA,"35,693",2008
"washington",2009,NA,NA,"4,521",NA,NA,"30,405",2009
"washington",2010,NA,NA,"5,025",NA,NA,"34,621",2010
"washington",2011,NA,NA,NA,NA,NA,NA,NA
"west virginia",2007,NA,NA,"4,438",NA,NA,"21,962",2007
"west virginia",2008,NA,NA,"3,705",NA,NA,"23,103",2008
"west virginia",2009,NA,NA,"3,283",NA,NA,"22,249",2009
"west virginia",2010,NA,NA,"2,519",NA,NA,"17,686",2010
"west virginia",2011,NA,NA,NA,NA,NA,NA,NA
"wisconsin",2007,NA,NA,"5,468",NA,NA,"26,978",2007
"wisconsin",2008,NA,NA,"4,250",NA,NA,"26,382",2008
"wisconsin",2009,NA,NA,"3,654",NA,NA,"25,543",2009
"wisconsin",2010,NA,NA,"3,531",NA,NA,"26,521",2010
"wisconsin",2011,NA,NA,NA,NA,NA,NA,NA
"wyoming",2007,NA,0.362366686,"478",NA,NA,"2,442",2007
"wyoming",2008,NA,0.362366686,"449",NA,NA,"2,398",2008
"wyoming",2009,NA,0.362366686,"455",NA,NA,"2,669",2009
"wyoming",2010,NA,0.362366686,"446",NA,NA,"3,213",2010
"wyoming",2011,NA,0.362366686,NA,NA,NA,NA,NA
